coverage_id,policy_tier,specialty,procedure_code,coverage_percentage,requires_preauth,waiting_period_days,max_claim_amount,authority
COV_00097,Average,Orthopedics,27130,68,True,90,500000,DOH_QATAR
COV_00098,Average,Orthopedics,29881,63,True,90,500000,MOH_BAHRAIN
COV_00099,Average,Orthopedics,29882,68,True,90,500000,MOH_KUWAIT
COV_00100,Average,Orthopedics,29888,73,True,90,500000,HIPAA
COV_00101,Basic,Orthopedics,27447,41,True,365,250000,CCHI
COV_00102,Basic,Orthopedics,27130,40,True,365,250000,MOH_KUWAIT
COV_00103,Basic,Orthopedics,29881,38,True,365,250000,DOH_QATAR
COV_00104,Basic,Orthopedics,29882,34,True,365,250000,MOH_BAHRAIN
COV_00105,Basic,Orthopedics,29888,50,True,365,250000,MOH_BAHRAIN
COV_00106,Premium,Neurology,95816,97,False,0,1000000,MOH_KUWAIT
COV_00107,Premium,Neurology,95819,98,False,0,1000000,MOH_OMAN
COV_00108,Premium,Neurology,95822,97,False,0,1000000,MOH_OMAN
COV_00109,Premium,Neurology,95860,91,False,0,1000000,HIPAA
COV_00110,Premium,Neurology,95861,100,False,0,1000000,MOH_OMAN
COV_00111,Average,Neurology,95816,73,True,90,500000,HIPAA
COV_00112,Average,Neurology,95819,76,True,90,500000,CCHI
COV_00113,Average,Neurology,95822,71,True,90,500000,DOH_QATAR
COV_00114,Average,Neurology,95860,76,True,90,500000,HIPAA
COV_00115,Average,Neurology,95861,77,True,90,500000,DOH_UAE
COV_00116,Basic,Neurology,95816,32,True,365,250000,MOH_BAHRAIN
COV_00117,Basic,Neurology,95819,48,True,365,250000,HIPAA
COV_00118,Basic,Neurology,95822,43,True,365,250000,MOH_KUWAIT
COV_00119,Basic,Neurology,95860,36,True,365,250000,MOH_OMAN
COV_00120,Basic,Neurology,95861,49,True,365,250000,HIPAA
COV_00121,Premium,Dermatology,11100,90,False,0,1000000,MOH_BAHRAIN
COV_00122,Premium,Dermatology,11101,96,False,0,1000000,DOH_UAE
COV_00123,Premium,Dermatology,17000,97,False,0,1000000,MOH_OMAN
COV_00124,Premium,Dermatology,17003,96,False,0,1000000,MOH_OMAN
COV_00125,Premium,Dermatology,17110,95,False,0,1000000,DOH_UAE
COV_00126,Average,Dermatology,11100,70,True,90,500000,HIPAA
COV_00127,Average,Dermatology,11101,72,True,90,500000,MOH_BAHRAIN
COV_00128,Average,Dermatology,17000,77,True,90,500000,HIPAA
COV_00129,Average,Dermatology,17003,75,True,90,500000,MOH_BAHRAIN
COV_00130,Average,Dermatology,17110,78,True,90,500000,DOH_UAE
COV_00131,Basic,Dermatology,11100,40,True,365,250000,MOH_KUWAIT
COV_00132,Basic,Dermatology,11101,39,True,365,250000,MOH_BAHRAIN
COV_00133,Basic,Dermatology,17000,46,True,365,250000,HIPAA
COV_00134,Basic,Dermatology,17003,35,True,365,250000,MOH_KUWAIT
COV_00135,Basic,Dermatology,17110,34,True,365,250000,CCHI
COV_00136,Premium,Ophthalmology,92014,96,False,0,1000000,MOH_OMAN
COV_00137,Premium,Ophthalmology,92015,94,False,0,1000000,DOH_UAE
COV_00138,Premium,Ophthalmology,66984,94,False,0,1000000,CCHI
COV_00139,Premium,Ophthalmology,67028,97,False,0,1000000,DOH_QATAR
COV_00140,Premium,Ophthalmology,67036,90,False,0,1000000,MOH_BAHRAIN
COV_00141,Average,Ophthalmology,92014,62,True,90,500000,DOH_QATAR
COV_00142,Average,Ophthalmology,92015,63,True,90,500000,CCHI
COV_00143,Average,Ophthalmology,66984,60,True,90,500000,DOH_UAE
COV_00144,Average,Ophthalmology,67028,63,True,90,500000,DOH_UAE
COV_00145,Average,Ophthalmology,67036,69,True,90,500000,CCHI
COV_00146,Basic,Ophthalmology,92014,49,True,365,250000,CCHI
COV_00147,Basic,Ophthalmology,92015,30,True,365,250000,DOH_UAE
COV_00148,Basic,Ophthalmology,66984,35,True,365,250000,DOH_UAE
COV_00149,Basic,Ophthalmology,67028,39,True,365,250000,MOH_OMAN
COV_00150,Basic,Ophthalmology,67036,44,True,365,250000,HIPAA
