rule_id,authority_id,policy_tier,specialty,approval_criteria,documentation_required,processing_time_hours
RULE_00059,DOH_QATAR,Average,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00060,DOH_QATAR,Average,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00061,DOH_QATAR,Average,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00062,DOH_QATAR,Average,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00063,DOH_QATAR,Average,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00064,DOH_QATAR,Average,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00065,DOH_QATAR,Basic,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00066,DOH_QATAR,Basic,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00067,DOH_QATAR,Basic,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00068,DOH_QATAR,Basic,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00069,DOH_QATAR,Basic,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00070,DOH_QATAR,Basic,Emergency,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00071,DOH_QATAR,Basic,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00072,DOH_QATAR,Basic,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00073,DOH_QATAR,Basic,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00074,DOH_QATAR,Basic,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00075,MOH_KUWAIT,Premium,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00076,MOH_KUWAIT,Average,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00077,MOH_KUWAIT,Average,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00078,MOH_KUWAIT,Average,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00079,MOH_KUWAIT,Average,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00080,MOH_KUWAIT,Basic,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00081,MOH_KUWAIT,Basic,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00082,MOH_KUWAIT,Basic,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00083,MOH_KUWAIT,Basic,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00084,MOH_KUWAIT,Basic,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00085,MOH_KUWAIT,Basic,Emergency,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00086,MOH_KUWAIT,Basic,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00087,MOH_KUWAIT,Basic,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00088,MOH_KUWAIT,Basic,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00089,MOH_KUWAIT,Basic,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00090,MOH_BAHRAIN,Average,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00091,MOH_BAHRAIN,Average,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00092,MOH_BAHRAIN,Average,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00093,MOH_BAHRAIN,Average,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00094,MOH_BAHRAIN,Average,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00095,MOH_BAHRAIN,Average,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00096,MOH_BAHRAIN,Basic,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00097,MOH_BAHRAIN,Basic,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00098,MOH_BAHRAIN,Basic,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00099,MOH_BAHRAIN,Basic,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00100,MOH_BAHRAIN,Basic,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00101,MOH_BAHRAIN,Basic,Emergency,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00102,MOH_BAHRAIN,Basic,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00103,MOH_BAHRAIN,Basic,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00104,MOH_BAHRAIN,Basic,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00105,MOH_BAHRAIN,Basic,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00106,MOH_OMAN,Premium,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00107,MOH_OMAN,Premium,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00108,MOH_OMAN,Average,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00109,MOH_OMAN,Average,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00110,MOH_OMAN,Average,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00111,MOH_OMAN,Average,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00112,MOH_OMAN,Average,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00113,MOH_OMAN,Basic,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00114,MOH_OMAN,Basic,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00115,MOH_OMAN,Basic,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00116,MOH_OMAN,Basic,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00117,MOH_OMAN,Basic,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00118,MOH_OMAN,Basic,Emergency,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00119,MOH_OMAN,Basic,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
